source_doc_id,date,sentence,found_term,accompanying_terms,zs_base_label,zs_base_score,zs_syn_label,zs_syn_score,gemini_classification_1,gemini_classification_2,manual_classification
2124,2016-09-05 17:20:00,"And China might have problems, as well as the South African Republic.",china,[],partner,0.542492628097534,adversary,0.947144150733948,neutral,neutral,neutral
1000,2014-05-19 00:05:00,Now Russia-China cooperation is advancing to a new stage of comprehensive partnership and strategic interaction.,china,['russia'],partner,0.985706925392151,ally,0.83262050151825,partner,partner,partner
4678,2021-12-23 16:10:00,"In terms of energy, both China and Russia committed to achieve carbon neutrality by 2060.",china,[],partner,0.660586357116699,ally,0.596102595329285,partner,partner,partner
4411,2021-05-19 12:35:00,Russian and Chinese specialists are working on this flagship joint project which is truly a milestone.,chinese,[],partner,0.992580413818359,ally,0.95736837387085,partner,partner,partner
2578,2017-07-04 13:30:00,We feel confident about the development of Chinese-Russian relations.,chinese,[],partner,0.906048536300659,ally,0.609690666198731,partner,partner,partner
2578,2017-07-04 13:30:00,"However, I would like to highlight that it is this man who is in charge of the Chinese foreign policy.",chinese,[],partner,0.725463688373566,ally,0.38541242480278,neutral,neutral,neutral
884,2014-02-06 20:00:00,"On behalf of the Chinese Government and our people, I extend my greetings and best wishes on the New Year to you and your families.",chinese,[],partner,0.820473611354828,ally,0.777587532997131,partner,neutral,partner
2028,2016-06-23 10:00:00,We have been discussing this issue with our Chinese partners for years.,chinese,[],partner,0.951585948467255,ally,0.644197225570679,partner,partner,partner
3781,2019-09-25 15:00:00,Chairman of the Standing Committee of the National People’s Congress of China Li Zhanshu (retranslated):,china,[],partner,0.790509462356567,ally,0.540676832199097,neutral,neutral,neutral
3748,2019-09-05 13:20:00,"Russia and India implement joint space exploration projects, we work actively on these programmes with the People’s Republic of China; in principle, we maintain good cooperation with the European Space Agency, and we hope that this process will continue to develop, and we also cooperate with the United States.",china,[],partner,0.991700172424316,ally,0.866679012775421,partner,partner,partner
1462,2015-05-08 14:10:00,"Let me note in this respect the work of the Russian-Chinese Investment Fund, which has invested 130 billion rubles in our countries’ economies.",chinese,['russian'],partner,0.975289940834045,ally,0.836732566356659,partner,partner,partner
2446,2017-04-19 17:50:00,Chairman of the Standing Committee of the Chinese National People's Congress Zhang Dejiang (retranslated):,chinese,[],partner,0.7959024310112,ally,0.468308210372925,neutral,neutral,neutral
3239,2018-09-11 13:10:00,The regional cooperation mechanism in the formats Northeast of China – Russia’s Far East and the Yangtze Volga rivers is developing.,china,[],partner,0.928549289703369,ally,0.783054947853088,partner,partner,partner
3240,2018-09-11 13:45:00,"As you know, President Xi Jinping and yours truly worked in our respective regions in China and Russia.",china,[],partner,0.969563722610474,ally,0.658129394054413,partner,neutral,partner
4124,2020-06-19 00:00:00,"In the Far East, this policy culminated in the conclusion of the Anglo- Japanese agreement in the summer of 1939, which gave Tokyo a free hand in China.",china,[],partner,0.808687269687653,ally,0.721755385398865,neutral,enemy,neutral
2113,2016-09-03 08:20:00,"We support the initiative of Russian, Japanese, South Korean and Chinese companies to create a super energy ring linking our countries as one.",chinese,[],partner,0.973916053771973,ally,0.890728890895844,partner,partner,partner
4581,2021-10-13 16:40:00,"China, our reliable partner and ally, fulfils all of its obligations too.",china,['partner'],partner,0.993720948696136,ally,0.979010462760925,partner,partner,partner
4643,2021-11-30 16:00:00,China used to have a rather liberal policy towards various digital companies.,china,[],partner,0.729557275772095,ally,0.52748966217041,neutral,neutral,neutral
429,2013-03-22 17:00:00,"As you know, the first country I am visiting in my capacity as President of China is Russia, and you are the first foreign head of state with whom I am meeting.",china,[],partner,0.795339167118073,adversary,0.615000247955322,partner,partner,partner
3090,2018-06-08 11:45:00,"Mr President, Chinese colleagues, friends, We have held very meaningful talks with President Xi Jinping in a restricted format.",chinese,[],partner,0.910476922988892,ally,0.883511245250702,partner,partner,partner
